Features,Silhouette,Davies_Bouldin,Calinski_Harabasz,Dist_Centroides,Overlap_GMM
V14 | V12,0.546199,1.747836,2741.178112,1.787456,0.941045
V14 | V10,0.63958,2.492396,994.40039,1.753721,0.971431
V14 | V11,0.401122,4.999709,367.216583,0.677617,0.852484
V14 | V4,0.428688,3.199823,973.99426,1.018098,0.848775
V14 | V17,0.611298,1.716242,1708.672676,2.021481,0.959384
V14 | V3,0.519797,2.05938,1693.074319,1.694472,0.919893
V14 | V16,0.458797,5.0113,378.209942,0.706892,0.872704
V14 | V7,0.647925,4.875242,302.290182,0.96141,0.970949
V14 | V9,0.423065,2.809953,1256.674682,1.089642,0.85845
V12 | V10,0.479861,1.581328,3362.179437,1.61009,0.895384
V12 | V11,0.460757,1.246581,4083.119738,2.042669,0.875438
V12 | V4,0.408425,2.010826,2699.932041,1.321341,0.849668
V12 | V17,0.511437,1.198414,4759.359995,2.005673,0.9196
V12 | V3,0.489748,1.309402,3732.798491,2.039548,0.900038
V12 | V16,0.433573,1.73368,2981.13604,1.538329,0.855472
V12 | V7,0.551884,1.625409,2645.065341,1.758355,0.940098
V12 | V9,0.470542,1.741808,3260.31364,1.599588,0.878722
V10 | V11,0.643743,1.789749,970.824585,2.438987,0.979768
V10 | V4,0.453128,3.199269,1034.607163,0.964527,0.889601
V10 | V17,0.681048,4.491866,294.385351,1.127724,0.981068
V10 | V3,0.695828,1.833857,1372.430246,2.712499,0.985625
V10 | V16,0.643973,2.228374,952.313746,2.060775,0.967654
V10 | V7,0.699248,5.376476,248.823604,0.95526,0.981612
V10 | V9,0.478072,3.169824,910.568557,0.987627,0.896361
V11 | V4,0.337827,1.188637,7011.729976,1.619589,0.824818
V11 | V17,0.606976,1.599869,866.402053,2.24929,0.977896
V11 | V3,0.337947,1.214956,6825.573621,1.593152,0.805026
V11 | V16,0.338371,1.18239,6784.25497,1.62436,0.828732
V11 | V7,0.650614,15.021325,21.471693,0.354843,0.981531
V11 | V9,0.336337,1.197084,6894.620782,1.59998,0.819105
V4 | V17,0.543113,1.547106,2235.153548,2.099005,0.944197
V4 | V3,0.292066,1.330203,4787.938494,1.44657,0.712762
V4 | V16,0.32995,5.090682,462.437271,0.559472,0.778861
V4 | V7,0.626208,3.899891,293.269003,1.189605,0.966817
V4 | V9,0.346009,11.94625,87.616282,0.248741,0.802483
V17 | V3,0.643857,1.187234,1977.544795,3.000274,0.981933
V17 | V16,0.554437,2.086939,1173.442082,1.661419,0.936629
V17 | V7,0.690219,7.981143,90.586806,0.645905,0.982387
V17 | V9,0.606698,2.393543,694.790877,1.719661,0.967288
V3 | V16,0.545624,1.611484,1518.601425,2.226105,0.941949
V3 | V7,0.68687,2.67249,776.893965,1.958261,0.986837
V3 | V9,0.645595,1.420997,1339.805719,3.137929,0.977982
V16 | V7,0.637616,6.165627,159.105591,0.789945,0.972636
V16 | V9,0.322947,2.768147,1488.755946,0.95423,0.764049
V7 | V9,0.632637,5.334545,209.968856,0.898158,0.975593
