Rank,Feature_1,Feature_2,CV_ROC_AUC,Average_Precision,KS_Conjunto
1,V14,V4,0.972419,0.659782,0.876625
2,V10,V4,0.964579,0.630959,0.870304
3,V12,V4,0.963446,0.594804,0.826466
4,V14,V12,0.961695,0.694923,0.863809
5,V4,V3,0.95969,0.344092,0.823165
6,V14,V3,0.954001,0.63649,0.861005
7,V14,V11,0.952817,0.627243,0.853084
8,V14,V2,0.952619,0.61966,0.850634
9,V14,V16,0.951709,0.67606,0.850208
10,V4,V11,0.951065,0.551482,0.828527
11,V14,V17,0.949959,0.68188,0.855108
12,V14,V7,0.949819,0.68245,0.852877
13,V14,V10,0.949564,0.716528,0.862572
14,V4,V7,0.944883,0.330957,0.803413
15,V12,V3,0.944561,0.625788,0.808502
16,V12,V11,0.941233,0.637641,0.806694
17,V12,V10,0.9408,0.69049,0.818385
18,V4,V2,0.940797,0.431809,0.78749
19,V4,V16,0.939538,0.613643,0.787787
20,V12,V2,0.935381,0.594181,0.789768
21,V12,V7,0.933821,0.609537,0.799495
22,V10,V11,0.931933,0.668524,0.823761
23,V11,V3,0.928101,0.535404,0.799006
24,V11,V2,0.919223,0.510991,0.772506
25,V12,V16,0.919007,0.653887,0.797461
26,V11,V7,0.918334,0.556058,0.780581
27,V3,V2,0.917738,0.259312,0.728649
28,V10,V3,0.917707,0.566708,0.813708
29,V3,V7,0.917155,0.306836,0.757584
30,V10,V2,0.915802,0.577167,0.810638
31,V10,V7,0.914459,0.56737,0.808287
32,V12,V17,0.912369,0.652939,0.799606
33,V11,V16,0.910222,0.611382,0.780502
34,V10,V16,0.906771,0.650307,0.792833
35,V4,V17,0.90546,0.601019,0.789649
36,V11,V17,0.899356,0.626706,0.77955
37,V10,V17,0.892659,0.640585,0.784553
38,V3,V16,0.889667,0.565988,0.772057
39,V7,V2,0.873322,0.236801,0.741292
40,V16,V2,0.858223,0.534864,0.729769
41,V16,V7,0.849179,0.518504,0.718864
42,V17,V3,0.847794,0.617111,0.778821
43,V17,V16,0.82909,0.628365,0.744305
44,V17,V2,0.821625,0.613713,0.750236
45,V17,V7,0.810119,0.628879,0.753747
