Combo,Feature_1,Feature_2,Silhouette,Davies_Bouldin,Wasserstein,Mahalanobis,Overlap_Gaussiano
Combo_1,V14,V12,0.544928,1.711897,6.78046,9.615413,0.940298
Combo_2,V14,V10,0.634397,2.512369,6.254177,8.964034,0.971761
Combo_3,V14,V11,0.405153,4.404303,5.507589,8.184543,0.8536
Combo_4,V14,V4,0.423455,3.143184,5.249637,7.962672,0.849717
Combo_5,V14,V17,0.610185,1.657416,7.802251,10.718511,0.958545
Combo_6,V14,V3,0.526946,2.079137,5.966202,8.6411,0.921435
Combo_7,V14,V16,0.459526,4.867179,6.025882,8.687736,0.871774
Combo_8,V14,V7,0.653481,4.794604,5.904431,8.568019,0.971352
Combo_9,V14,V9,0.426596,2.81205,4.81957,7.656133,0.859266
Combo_10,V12,V10,0.469602,1.571416,5.748965,8.164246,0.895896
Combo_11,V12,V11,0.462814,1.274879,5.002377,7.299846,0.875753
Combo_12,V12,V4,0.41687,1.953813,4.744425,7.050188,0.851575
Combo_13,V12,V17,0.513703,1.211282,7.297039,10.059199,0.920643
Combo_14,V12,V3,0.489653,1.341428,5.46099,7.808304,0.900533
Combo_15,V12,V16,0.435539,1.741815,5.52067,7.859884,0.856196
Combo_16,V12,V7,0.553465,1.677241,5.399219,7.727351,0.939368
Combo_17,V12,V9,0.463025,1.760734,4.314357,6.702043,0.877912
Combo_18,V10,V11,0.661112,1.804725,4.476094,6.417592,0.980743
Combo_19,V10,V4,0.454154,3.191389,4.218142,6.132118,0.891058
Combo_20,V10,V17,0.665131,3.984565,6.770756,9.438496,0.980795
Combo_21,V10,V3,0.683626,1.710167,4.934707,6.990518,0.985322
Combo_22,V10,V16,0.650444,2.128338,4.994387,7.048085,0.968221
Combo_23,V10,V7,0.698761,4.723654,4.872936,6.899977,0.981484
Combo_24,V10,V9,0.479502,3.037099,3.788075,5.728447,0.895602
Combo_25,V11,V4,0.339506,1.191371,3.471554,4.92298,0.823505
Combo_26,V11,V17,0.611345,1.720193,6.024168,8.701612,0.977742
Combo_27,V11,V3,0.331393,1.209326,4.188119,5.958204,0.805307
Combo_28,V11,V16,0.342098,1.170757,4.247799,6.025641,0.828901
Combo_29,V11,V7,0.638333,10.663796,4.126348,5.851712,0.981256
Combo_30,V11,V9,0.336817,1.203827,3.041487,4.409984,0.820656
Combo_31,V4,V17,0.540935,1.56446,5.766216,8.493259,0.944539
Combo_32,V4,V3,0.290799,1.326432,3.930167,5.649565,0.711582
Combo_33,V4,V16,0.328909,5.105762,3.989847,5.720642,0.778837
Combo_34,V4,V7,0.623536,3.26377,3.868396,5.53714,0.966934
Combo_35,V4,V9,0.349863,12.460382,2.783535,3.983133,0.802901
Combo_36,V17,V3,0.639107,1.280722,6.482781,9.132355,0.982211
Combo_37,V17,V16,0.54185,1.946436,6.542461,9.176495,0.935626
Combo_38,V17,V7,0.678105,4.998971,6.42101,9.063236,0.982504
Combo_39,V17,V9,0.620703,2.545358,5.336148,8.206563,0.966322
Combo_40,V3,V16,0.565291,1.565809,4.706412,6.632511,0.942467
Combo_41,V3,V7,0.676669,2.561939,4.584961,6.474904,0.986795
Combo_42,V3,V9,0.637755,1.438691,3.5001,5.208628,0.977775
Combo_43,V16,V7,0.642524,5.630193,4.644641,6.537013,0.97242
Combo_44,V16,V9,0.318642,2.748741,3.55978,5.285638,0.764292
Combo_45,V7,V9,0.644912,6.361965,3.438328,5.086467,0.975126
