Features,Silhouette,Davies_Bouldin,Calinski_Harabasz,Dist_Centroides,Overlap_GMM
V14 | V12 | V10,0.455383,2.435582,1629.820319,1.522208,0.937417
V14 | V12 | V11,0.442753,2.135009,1879.522273,1.781022,0.936897
V14 | V12 | V4,0.410957,2.385204,1794.318489,1.544737,0.910421
V14 | V12 | V17,0.475969,2.094408,1970.406839,1.761508,0.941782
V14 | V12 | V3,0.433564,2.370133,1703.06938,1.590306,0.928537
V14 | V12 | V16,0.420642,2.492105,1506.002521,1.505363,0.917566
V14 | V12 | V7,0.498357,2.495229,1390.848106,1.559149,0.956545
V14 | V12 | V9,0.460242,2.151829,2069.524286,1.778448,0.93396
V14 | V10 | V11,0.55836,2.930844,647.186445,1.777166,0.974152
V14 | V10 | V4,0.519128,2.974429,908.036081,1.55235,0.951302
V14 | V10 | V17,0.60097,2.597856,952.52411,1.949344,0.979586
V14 | V10 | V3,0.594569,2.268344,1165.924748,2.302173,0.980152
V14 | V10 | V16,0.578696,2.786353,762.73807,1.905403,0.974113
V14 | V10 | V7,0.64101,4.92148,295.324658,1.187673,0.984565
V14 | V10 | V9,0.567495,2.836108,803.517323,1.810656,0.964785
V14 | V11 | V4,0.381299,3.253053,838.706401,1.261893,0.886449
V14 | V11 | V17,0.516141,2.010547,1349.15954,2.153747,0.960196
V14 | V11 | V3,0.463222,2.685735,862.226393,1.682198,0.943579
V14 | V11 | V16,0.403512,5.525164,249.87552,0.80286,0.906807
V14 | V11 | V7,0.550491,5.58957,195.779017,0.947447,0.973584
V14 | V11 | V9,0.383298,3.126462,860.92648,1.287649,0.901928
V14 | V4 | V17,0.50495,2.261793,1216.988603,1.895108,0.951341
V14 | V4 | V3,0.46956,2.524816,1071.873608,1.749945,0.935647
V14 | V4 | V16,0.37567,4.815282,436.421865,0.848605,0.875018
V14 | V4 | V7,0.562542,4.19654,352.399431,1.254787,0.971274
V14 | V4 | V9,0.290699,10.437541,114.380913,0.344297,0.843331
V14 | V17 | V3,0.588005,1.862471,1443.668529,2.515334,0.977691
V14 | V17 | V16,0.529371,2.319994,1087.741061,1.890732,0.958746
V14 | V17 | V7,0.616138,2.958492,767.916946,1.753466,0.97969
V14 | V17 | V9,0.445208,2.479012,1307.75547,1.54349,0.934109
V14 | V3 | V16,0.503421,2.396049,1129.818316,1.933137,0.950932
V14 | V3 | V7,0.584226,2.620916,942.619737,1.938817,0.978974
V14 | V3 | V9,0.406871,3.023035,1014.368765,1.338852,0.909832
V14 | V16 | V7,0.552966,6.991212,134.751183,0.747976,0.970304
V14 | V16 | V9,0.382556,4.186071,555.423172,0.966253,0.888835
V14 | V7 | V9,0.554902,5.093605,281.433517,1.030343,0.965831
V12 | V10 | V11,0.407989,1.979731,2168.690994,1.789999,0.915222
V12 | V10 | V4,0.370044,2.388612,1926.54878,1.379105,0.904913
V12 | V10 | V17,0.467579,2.066099,1843.991006,1.736325,0.934533
V12 | V10 | V3,0.443724,2.010444,1911.990957,1.834117,0.930821
V12 | V10 | V16,0.352923,2.350892,1829.888864,1.384999,0.885687
V12 | V10 | V7,0.497815,2.594335,988.011833,1.487616,0.948303
V12 | V10 | V9,0.451293,2.139418,2056.034734,1.703136,0.935891
V12 | V11 | V4,0.352243,2.277719,1937.586732,1.554193,0.874005
V12 | V11 | V17,0.433141,1.520001,2890.805088,2.163844,0.935379
V12 | V11 | V3,0.423846,1.686831,2222.202691,2.130017,0.918512
V12 | V11 | V16,0.353787,2.236194,1876.742341,1.590933,0.867244
V12 | V11 | V7,0.457121,2.024292,1681.7862,1.831019,0.945804
V12 | V11 | V9,0.400893,2.02262,2222.120282,1.807604,0.900365
V12 | V4 | V17,0.416805,1.912506,2284.292995,1.800348,0.913599
V12 | V4 | V3,0.355256,2.477474,1681.109375,1.421728,0.870471
V12 | V4 | V16,0.320212,2.756877,1474.486092,1.2373,0.859151
V12 | V4 | V7,0.439081,2.259775,1665.030438,1.617583,0.927163
V12 | V4 | V9,0.340008,2.995643,1333.909521,1.1643,0.884368
V12 | V17 | V3,0.456386,1.704424,2344.318924,2.064882,0.941319
V12 | V17 | V16,0.398219,1.883125,2593.442558,1.733323,0.905393
V12 | V17 | V7,0.499753,2.018637,1723.909779,1.83824,0.95581
V12 | V17 | V9,0.438751,1.802398,2555.088292,1.908336,0.92417
V12 | V3 | V16,0.380575,2.215126,1798.254026,1.61348,0.884636
V12 | V3 | V7,0.522107,2.392556,1163.747552,1.838819,0.961929
V12 | V3 | V9,0.432578,1.927706,2214.330974,1.90814,0.918554
V12 | V16 | V7,0.450328,2.359329,1314.64805,1.572076,0.934622
V12 | V16 | V9,0.345957,2.644883,1587.492046,1.335328,0.871765
V12 | V7 | V9,0.46633,2.044008,2026.286692,1.768326,0.938855
V10 | V11 | V4,0.33291,4.154073,598.98363,0.898857,0.88543
V10 | V11 | V17,0.605439,3.567152,383.78304,1.614889,0.984589
V10 | V11 | V3,0.633251,1.818627,1123.148226,3.152424,0.989592
V10 | V11 | V16,0.580249,2.404932,649.296177,2.24205,0.97975
V10 | V11 | V7,0.628405,6.533315,145.790733,0.941378,0.984228
V10 | V11 | V9,0.583476,2.412648,719.213487,2.224412,0.977925
V10 | V4 | V17,0.535212,2.897041,885.979739,1.594281,0.961467
