Rank,Feature_1,Feature_2,Feature_3,CV_ROC_AUC,Average_Precision,KS_Conjunto
1,V14,V12,V4,0.9758759857571289,0.7070789005859651,0.886769268872369
2,V14,V4,V16,0.9728710515594278,0.7158195100467931,0.8752486141425975
3,V14,V4,V2,0.9725314029209858,0.6709804797646948,0.876496619104039
4,V14,V4,V11,0.972513975216712,0.6661713110101114,0.8844894650047888
5,V14,V4,V3,0.9723834771558499,0.6607600714690003,0.8772328811523267
6,V14,V10,V4,0.9715894999076884,0.7257179758773065,0.88117168479091
7,V14,V4,V17,0.9711977878470778,0.7066317384550543,0.870628662170237
8,V12,V10,V4,0.9693346407174882,0.6992139265229901,0.8636981978547296
9,V14,V4,V7,0.969233369489122,0.6930871676821275,0.8744863270899532
10,V10,V4,V2,0.9660478992402085,0.6710047329158579,0.8687710779995242
11,V12,V4,V3,0.965484721887203,0.6178736058591536,0.8325492030117936
12,V10,V4,V16,0.9654411107547844,0.6892976848206231,0.8579909424588742
13,V10,V4,V17,0.9648809398284955,0.6632305139518697,0.8725037153731685
14,V10,V4,V7,0.9646454666128518,0.6407744641931536,0.8730553952194438
15,V12,V4,V11,0.9645404135150166,0.6487981891634339,0.8530250146847432
16,V12,V4,V2,0.9632797651026929,0.6017984638623959,0.8254996649119366
17,V12,V4,V7,0.9625770105919136,0.6145503294912641,0.8305663132376964
18,V10,V4,V11,0.9623387162002531,0.6891937764202296,0.8729679891540101
19,V14,V12,V3,0.9619336599263291,0.6941476219509487,0.8658501297985672
20,V14,V12,V11,0.9618062781375103,0.6938165558767535,0.8658556343907854
21,V14,V12,V16,0.9617520062079793,0.7037500277065295,0.8594430320619331
22,V14,V12,V2,0.9614468584278228,0.6938663000272008,0.8655252305235598
23,V10,V4,V3,0.9612320734737771,0.6412150751653302,0.8567875267245434
24,V14,V12,V17,0.9604015362206102,0.7013262952701023,0.8640057890589871
25,V4,V3,V7,0.9600058911172591,0.4136397209748389,0.836034643809471
26,V12,V4,V16,0.9592671138647557,0.6667481498726342,0.8299181029133471
27,V14,V12,V7,0.9584825709888204,0.7034625064724208,0.8634307404351194
28,V4,V3,V2,0.9579151691223062,0.4603932367743715,0.8206746458529566
29,V12,V4,V17,0.9572262282957915,0.6458727437374596,0.8270275851306449
30,V4,V11,V2,0.9558761697752406,0.5973909866776294,0.8453213440385616
31,V4,V11,V16,0.9542999049243381,0.6675308644070007,0.8343870567141536
32,V14,V3,V16,0.954135922165095,0.6819213119346266,0.8588790241622487
33,V14,V3,V2,0.9538864793790793,0.6358862007794969,0.8602524830001397
34,V14,V12,V10,0.9536236467014956,0.7232242879648495,0.8725413285157131
35,V14,V11,V3,0.953415209212225,0.6393337697031578,0.8620579816346081
36,V14,V11,V16,0.9530922570634559,0.6758089297155341,0.8517406443946675
37,V14,V11,V2,0.9526351794203599,0.6272813804133069,0.8591509497127259
38,V14,V16,V2,0.9517532131652284,0.674119680444646,0.8510861667237519
39,V4,V11,V3,0.9515940563498478,0.5545242762646743,0.8320103902948384
40,V14,V17,V3,0.9514724535853013,0.6811280285802475,0.8568541430211459
41,V14,V17,V16,0.9512634650567678,0.6841072841363575,0.8531653988250169
42,V4,V11,V7,0.9511565090608457,0.5828797041414513,0.8386253135771401
43,V14,V11,V17,0.9505896016795647,0.6807992769948094,0.8572428414045232
44,V14,V10,V16,0.9504324195423856,0.7294223887915676,0.8635704513649248
45,V14,V11,V7,0.950409659808189,0.6809012952783389,0.8552497990945286
46,V14,V10,V11,0.9503435633736281,0.7148887688803399,0.8703003395638074
47,V14,V16,V7,0.9503083146245535,0.6961824482093661,0.8534839364967418
48,V14,V10,V2,0.9501126771973242,0.7166041126908147,0.861905579037985
49,V14,V17,V2,0.9500775553322903,0.6808063249714945,0.8550866294807247
50,V14,V7,V2,0.9498560926524376,0.6816647576381,0.8528646310819503
51,V4,V3,V16,0.9496348355247314,0.6421961665067141,0.8022651277343634
52,V14,V10,V17,0.9495742940734788,0.7264367474397297,0.8653273505115401
53,V14,V17,V7,0.9495507407702382,0.6956736728686417,0.8570771638370204
54,V14,V3,V7,0.9493843294504533,0.6854124761804262,0.8522650517852016
55,V14,V10,V7,0.9490240298905738,0.7180813668896843,0.8655334895870418
56,V14,V10,V3,0.9487453580969072,0.7181659995328598,0.8620805249408836
57,V4,V16,V2,0.9486702347691542,0.6302242399326276,0.7983433584595274
58,V12,V11,V3,0.9466532088377576,0.6559463642195646,0.8178519417896769
59,V4,V7,V2,0.9463839580028617,0.4481141752344179,0.8128886075253409
60,V4,V11,V17,0.9451948758148371,0.6413261541637809,0.8231259411147915
61,V12,V3,V2,0.9444234302721242,0.6366819307783239,0.8124467331280197
62,V12,V10,V11,0.9439626900305574,0.7044553927181034,0.830668312780457
63,V12,V3,V7,0.9434458380408671,0.646729217471558,0.8117625877931977
64,V12,V10,V3,0.9416358894018231,0.689470673406671,0.8158285277906121
65,V12,V10,V2,0.9409032185344174,0.6975107317836376,0.8206008511823744
66,V12,V10,V7,0.9406728007414872,0.6976344938114278,0.8180011951244059
67,V12,V11,V2,0.9406564917919276,0.6382521670358641,0.809347900389778
68,V4,V16,V7,0.9405811668998126,0.6083608868148694,0.7872260227798978
69,V12,V10,V17,0.940475234676837,0.6901215105553951,0.8168520404438313
70,V12,V11,V7,0.9400103243006361,0.6520591644952564,0.8078176962583342
71,V12,V11,V16,0.934552128500993,0.6699291672157128,0.8012697884135752
72,V12,V10,V16,0.934361613563756,0.7000829692389395,0.8109536886193061
73,V12,V7,V2,0.9340943595211371,0.6121257351312339,0.7955305915918014
74,V12,V17,V3,0.9327093629361487,0.6606328990330257,0.8076150160417862
75,V10,V11,V2,0.932159102015976,0.6733674984732458,0.8261487405854442
76,V10,V11,V3,0.9318514212678382,0.6665728337280128,0.8240059247161531
77,V12,V11,V17,0.9318470187541464,0.6646120859327638,0.8040045973640755
78,V12,V3,V16,0.9317883269096837,0.6759455555509514,0.8063317804575615
79,V10,V11,V7,0.9316237920236,0.6730476450008698,0.8234594402275622
80,V4,V17,V2,0.9302968035593568,0.6548572517927244,0.8065175390558956
81,V11,V3,V2,0.9300145326092402,0.559167105346962,0.8095819978198928
82,V10,V11,V17,0.9287369850553041,0.6841001095488022,0.8249758535138685
83,V11,V3,V7,0.9280198306559913,0.5981134350315569,0.8137024725780659
84,V4,V17,V16,0.9278788983766612,0.6436878936697823,0.7961372368795221
85,V10,V11,V16,0.9271077986835911,0.6914962143395698,0.822863315439457
86,V11,V3,V16,0.922850388493375,0.6411390743124147,0.7965068548033619
87,V10,V3,V2,0.9219536311843386,0.5859309187139916,0.8180791258521944
88,V10,V3,V7,0.9203771252537585,0.5775864501921365,0.8184936067101471
89,V12,V16,V2,0.9201650657689106,0.6540839538566481,0.7989266433077499
90,V12,V16,V7,0.9189169382737381,0.6597263633515199,0.801271318272582
91,V3,V7,V2,0.9187462582122933,0.30629150412738737,0.7608644483544306
92,V11,V7,V2,0.9184934914269329,0.578479239449392,0.7897960155242697
93,V12,V17,V2,0.9168255655449187,0.651191793924851,0.7976645110771997
94,V10,V7,V2,0.9154687774573667,0.5757421753446657,0.8105056509203319
95,V12,V17,V7,0.9146688819750137,0.6539157680976855,0.7996333319488472
96,V11,V16,V2,0.9120172056354511,0.6110954035260342,0.7840649922098818
97,V11,V17,V3,0.9119999744201774,0.6281003603350717,0.7948835790527978
98,V12,V17,V16,0.9119751065982736,0.664726043194564,0.7964562364091559
99,V10,V3,V16,0.9090995096537238,0.6577314506855869,0.8009929684018534
100,V4,V17,V3,0.9089796423003303,0.6073048705833809,0.795517438067075
101,V11,V16,V7,0.9087821023375401,0.629080331322118,0.7845283778024376
102,V10,V16,V2,0.9085419510885732,0.6569612315996113,0.7969878265239798
103,V4,V17,V7,0.9076628672763242,0.6085518790605948,0.7908605102725809
104,V10,V16,V7,0.9064609107084631,0.6488041737097467,0.7933179829745762
105,V11,V17,V2,0.9028299081765937,0.6251181570994155,0.7821978971739926
106,V10,V17,V16,0.902255423642919,0.6585160701892743,0.7919766682145433
107,V11,V17,V7,0.9014532924637662,0.6372371612471045,0.7807568754845542
108,V10,V17,V2,0.9001083071296943,0.646702987358974,0.7857784328474533
109,V11,V17,V16,0.8995285467576011,0.6401638919400197,0.7838298898581633
110,V10,V17,V3,0.8965080565764916,0.6383429713290495,0.7870746381558081
111,V10,V17,V7,0.8933216307094878,0.6426643301965258,0.7847836097634484
112,V3,V16,V2,0.8910904759957997,0.58220806157335,0.7743517923039631
113,V3,V16,V7,0.888982559400682,0.5875977777523944,0.7797150095986145
114,V17,V3,V16,0.8615275048366111,0.6462634296223961,0.7853118037362876
115,V16,V7,V2,0.8563296714635396,0.5711943369780309,0.7418422641191149
116,V17,V3,V7,0.8555696839122418,0.6300349764029582,0.7876280044722492
117,V17,V3,V2,0.8547675360569007,0.6192726919679942,0.7913891704536388
118,V17,V16,V2,0.8361594480396312,0.626550784787834,0.7526566964160076
119,V17,V16,V7,0.8290937282367814,0.6328214433813094,0.7476918409932848
120,V17,V7,V2,0.8212532555680623,0.6282069690091561,0.7528995376066406
