Combo,Feature_1,Feature_2,Feature_3,Silhouette,Davies_Bouldin,Wasserstein,Mahalanobis,Overlap_Gaussiano
Combo3D_1,V14,V12,V10,0.462069,2.525182,6.261201,10.942234,0.938298
Combo3D_2,V14,V12,V11,0.449584,2.103152,5.763475,10.313357,0.93623
Combo3D_3,V14,V12,V4,0.411392,2.44553,5.591507,10.138182,0.911582
Combo3D_4,V14,V12,V17,0.469655,1.993484,7.29325,12.420349,0.943746
Combo3D_5,V14,V12,V3,0.438152,2.402055,6.069217,10.679288,0.929349
Combo3D_6,V14,V12,V16,0.411002,2.501025,6.109004,10.717059,0.918265
Combo3D_7,V14,V12,V7,0.491101,2.53474,6.028037,10.620242,0.955569
Combo3D_8,V14,V12,V9,0.457381,2.170445,5.304795,9.89924,0.934882
Combo3D_9,V14,V10,V11,0.557697,2.875082,5.41262,9.708917,0.974344
Combo3D_10,V14,V10,V4,0.516579,3.180942,5.240652,9.522629,0.949761
Combo3D_11,V14,V10,V17,0.614399,2.604977,6.942395,11.923204,0.980033
Combo3D_12,V14,V10,V3,0.602039,2.24757,5.718362,10.096778,0.980393
Combo3D_13,V14,V10,V16,0.575217,3.021834,5.758149,10.136719,0.974205
Combo3D_14,V14,V10,V7,0.635471,4.770359,5.677182,10.034304,0.983715
Combo3D_15,V14,V10,V9,0.560821,3.163498,4.953941,9.267831,0.965074
Combo3D_16,V14,V11,V4,0.379296,3.479948,4.742927,8.792799,0.885556
Combo3D_17,V14,V11,V17,0.527353,2.155859,6.44467,11.348817,0.960717
Combo3D_18,V14,V11,V3,0.477228,2.536559,5.220637,9.411577,0.944148
Combo3D_19,V14,V11,V16,0.398403,4.9569,5.260424,9.454413,0.908195
Combo3D_20,V14,V11,V7,0.559112,5.488689,5.179456,9.344523,0.972958
Combo3D_21,V14,V11,V9,0.380497,3.042709,4.456215,8.516193,0.902024
Combo3D_22,V14,V4,V17,0.507023,2.274836,6.272702,11.189863,0.950883
Combo3D_23,V14,V4,V3,0.467914,2.636605,5.048669,9.219282,0.934938
Combo3D_24,V14,V4,V16,0.380854,5.110014,5.088456,9.263008,0.876069
Combo3D_25,V14,V4,V7,0.556368,4.442236,5.007488,9.15082,0.971363
Combo3D_26,V14,V4,V9,0.287839,10.728916,4.284247,8.303188,0.843093
Combo3D_27,V14,V17,V3,0.579813,1.728481,6.750412,11.682358,0.977245
Combo3D_28,V14,V17,V16,0.517191,2.225172,6.790198,11.716896,0.957668
Combo3D_29,V14,V17,V7,0.603532,3.074136,6.709231,11.628406,0.978336
Combo3D_30,V14,V17,V9,0.466474,2.52459,5.98599,10.973844,0.934236
Combo3D_31,V14,V3,V16,0.492547,2.52225,5.566166,9.852299,0.950357
Combo3D_32,V14,V3,V7,0.58272,2.759199,5.485198,9.746895,0.978895
Combo3D_33,V14,V3,V9,0.406231,3.074052,4.761957,8.955858,0.90907
Combo3D_34,V14,V16,V7,0.550239,5.356922,5.524985,9.788265,0.971001
Combo3D_35,V14,V16,V9,0.380438,4.29131,4.801744,9.000864,0.887961
Combo3D_36,V14,V7,V9,0.552287,5.245781,4.720776,8.885366,0.965702
Combo3D_37,V12,V10,V11,0.401525,1.99494,5.075812,8.975749,0.914631
Combo3D_38,V12,V10,V4,0.366697,2.427958,4.903844,8.773908,0.904741
Combo3D_39,V12,V10,V17,0.454255,2.00179,6.605587,11.334187,0.934264
Combo3D_40,V12,V10,V3,0.444368,2.070686,5.381554,9.39393,0.932267
Combo3D_41,V12,V10,V16,0.354547,2.296249,5.421341,9.436847,0.886006
Combo3D_42,V12,V10,V7,0.478554,2.579503,5.340373,9.32675,0.947056
Combo3D_43,V12,V10,V9,0.453765,2.135888,4.617132,8.496687,0.93658
Combo3D_44,V12,V11,V4,0.356222,2.326761,4.406119,7.975859,0.874168
Combo3D_45,V12,V11,V17,0.436868,1.536763,6.107861,10.72831,0.934928
Combo3D_46,V12,V11,V3,0.413073,1.684673,4.883829,8.653253,0.918168
Combo3D_47,V12,V11,V16,0.356697,2.296405,4.923615,8.699824,0.867141
Combo3D_48,V12,V11,V7,0.452336,2.034122,4.842648,8.580275,0.945615
Combo3D_49,V12,V11,V9,0.407247,1.993306,4.119407,7.669846,0.901278
Combo3D_50,V12,V4,V17,0.401913,1.935218,5.935893,10.560021,0.912445
Combo3D_51,V12,V4,V3,0.350911,2.501632,4.711861,8.443706,0.870462
Combo3D_52,V12,V4,V16,0.316408,2.798689,4.751647,8.491427,0.858741
Combo3D_53,V12,V4,V7,0.42633,2.321339,4.67068,8.368901,0.926855
Combo3D_54,V12,V4,V9,0.337743,2.959736,3.947439,7.432627,0.884034
Combo3D_55,V12,V17,V3,0.45186,1.687445,6.413603,11.080546,0.941208
Combo3D_56,V12,V17,V16,0.398476,1.932476,6.45339,11.116954,0.904271
Combo3D_57,V12,V17,V7,0.509273,2.106225,6.372422,11.023649,0.955744
Combo3D_58,V12,V17,V9,0.43825,1.805331,5.649181,10.33084,0.925192
Combo3D_59,V12,V3,V16,0.373775,2.311793,5.229357,9.130651,0.883887
Combo3D_60,V12,V3,V7,0.520225,2.466637,5.14839,9.016816,0.961504
Combo3D_61,V12,V3,V9,0.425731,1.899074,4.425149,8.155268,0.919075
Combo3D_62,V12,V16,V7,0.446181,2.441324,5.188176,9.061519,0.934454
Combo3D_63,V12,V16,V9,0.345845,2.648817,4.464935,8.204667,0.870576
Combo3D_64,V12,V7,V9,0.469523,2.135775,4.383968,8.077793,0.938674
Combo3D_65,V10,V11,V4,0.325664,4.144265,4.055264,7.177189,0.883958
Combo3D_66,V10,V11,V17,0.584115,3.552253,5.757006,10.148614,0.984068
Combo3D_67,V10,V11,V3,0.596697,1.917973,4.532974,7.923163,0.989155
Combo3D_68,V10,V11,V16,0.594332,2.329226,4.57276,7.973999,0.97907
Combo3D_69,V10,V11,V7,0.601262,5.173797,4.491793,7.843395,0.983784
Combo3D_70,V10,V11,V9,0.593264,2.108181,3.768552,6.835515,0.977851
