Features,Silhouette,Davies_Bouldin,Dist_Centroides,Overlap_GMM,KS,Wasserstein,ROC_AUC,Score_Final
V14 | V17,0.7646638631767005,0.9982848687737814,0.37649846111556096,0.9613570684527036,0.9629124285445909,0.9957319360810567,0.9999999999999998,0.9232341058324806
V10 | V14,0.7325882921300784,0.9984616910594136,0.3279662205601446,0.9457408018567358,1.0000000000000002,0.8968113208935004,0.983920869484119,0.8973366246238156
V3 | V14,0.7095570617619313,0.998717010324238,0.410935983923774,0.9468896707503193,0.9331966399184135,0.9921920332056299,0.9404754985643311,0.8932369676093045
V10 | V17,0.7398487147529064,0.997674552787213,0.3120336871700255,0.95048403314195,0.9429440970451679,0.9046192876878704,0.9609578274250821,0.88819164666283
V3 | V17,0.7264102605003773,0.9981756045124838,0.42292748423681065,0.9577111326361011,0.8761407369635814,1.0,0.9175124565052941,0.8880097413273653
V12 | V17,0.7265119119923027,0.9980655379110412,0.3399249613791154,0.9349835081205624,0.9333018437508389,0.9469626313080323,0.9541973658304059,0.8868464866230311
V12 | V14,0.6535819240756935,0.9980658342299518,0.2798599290236849,0.9049135926044035,0.9903577467056708,0.9391546645136623,0.9771604078894429,0.8732424022028351
V7 | V14,0.7208154039958643,0.9979766808468586,0.3309605387502303,0.9528682407133844,0.905858672606747,0.8900069610005216,0.9289194119637416,0.87048597909514
V3 | V12,0.6969071746928784,0.998585978139827,0.4034335501225291,0.9345461652604876,0.9035860551246614,0.9434227284326057,0.8946728643947368,0.8667323781392686
V7 | V17,0.7443661299036466,0.9974988017356226,0.34567799910977004,0.9575590885843634,0.8488027696519149,0.8978149277948917,0.9059563699047049,0.8654004811018343
V14 | V16,0.7499330299045497,0.9989451103243856,0.33850202279401914,0.9418232946434716,0.9241415957703767,0.787544294674337,0.9728414618816743,0.8625604054141156
V3 | V10,0.6983867165924785,0.9982799522112947,0.36650074445899966,0.9384336544250902,0.9132283084189904,0.9010793848124438,0.901433325989413,0.8622099639996204
V11 | V17,0.743872204061582,0.9982750164764839,0.34181253292785885,0.9594696449419945,0.9115278709642791,0.7681259062566422,0.9438325261779219,0.8561494703128706
V10 | V12,0.6616956700888014,0.9981236659428809,0.27573475865295777,0.9178887907816942,0.970389415206248,0.8480420161204759,0.9381182353145252,0.8523942250144213
V11 | V14,0.7108606324740251,0.9990909735777708,0.31066252300788894,0.9182158419521746,0.9685837739191112,0.7603179394622722,0.9667955682369589,0.8497290181065225
V16 | V17,0.750686124472831,0.99793406128667,0.29602454446481796,0.933202699648613,0.8670856928155446,0.7953522614687071,0.9498784198226373,0.848447638869475
V4 | V14,0.6712913091696799,0.9988627649324117,0.30720593208263897,0.9012136992440829,0.974970075950726,0.8133971045064767,0.9582058847779458,0.8466202766726759
V4 | V17,0.6734318862287764,0.9979814336242865,0.3185529468541679,0.9318506448607937,0.917914172995894,0.8212050713008469,0.9352428427189088,0.8426687659036315
V3 | V7,0.7139864127159967,0.9982924756118569,0.4188430583966378,0.9460419637882054,0.8190869810257375,0.894275024919465,0.846431868469036,0.8423226821619948
V7 | V12,0.7033508658153464,0.9980310388551651,0.327024552262558,0.9378035036483366,0.8762480878129949,0.8412376562274974,0.8831167777941475,0.842097418953434
V3 | V11,0.7388334607534504,0.9990348143519638,0.4525772304098313,0.9584011557069945,0.8818120823381017,0.7645860033812154,0.884308024742253,0.8420190737332001
V3 | V4,0.6914418741931755,0.9988286469681463,0.4156580258210401,0.9347318272506705,0.8881983843697164,0.81766516842542,0.8757183412832397,0.8352879700483127
V7 | V10,0.6857545711618824,0.9972155559532897,0.2569365298046284,0.9373091050179215,0.8858903411073241,0.7988943126073355,0.8898772393888239,0.8317105737267654
V3 | V16,0.7249139362506833,0.9987537224317318,0.4108342031251936,0.9420264979471188,0.837369904189367,0.7918123585932804,0.8903539183869686,0.8316069529446769
V12 | V16,0.7082080943721849,0.9988201483683081,0.306246858883341,0.9223690707836039,0.8945310109766245,0.7387749899013127,0.9270388277120805,0.8270093742357427
V10 | V16,0.7155185451283353,0.9980648130622845,0.2605526158587126,0.9288561519816755,0.9041732642709535,0.6964316462811507,0.9337992893067566,0.8245945853185993
V10 | V11,0.6938793974899781,0.9981719550563468,0.25841239437401126,0.9359074731217835,0.9486154424196882,0.6692052910690859,0.9277533956620412,0.8237862039168993
V2 | V17,0.6798360591960202,0.9965932837735842,0.24265403986938044,0.9378098198405597,0.8281978476154693,0.7572058385657624,0.8854276346764598,0.8100349704630374
V7 | V11,0.7198418849589605,0.998084732044626,0.3211970886699306,0.9518271542610448,0.8544741150264352,0.6624009311761071,0.872751938141664,0.8085674628596762
V2 | V14,0.6414505346157341,0.9974975299447008,0.23540081242122357,0.914746228737696,0.8852537505703015,0.7493978717713924,0.9083906767354968,0.806818582980246
V4 | V10,0.6129967936316997,0.9974649923266858,0.22149361483078095,0.9009872472051886,0.955001744451303,0.7222844561132905,0.9191637122030276,0.8058696215424437
V7 | V16,0.7284469195382449,0.998006873701049,0.3169113377703233,0.9433323379472592,0.8100319368777007,0.6896272863881721,0.8787978317863794,0.8057564422031885
V4 | V7,0.6723070500702787,0.9980354060825442,0.31268770713564664,0.9249935520252696,0.86086041705805,0.7154800962203118,0.8641622546826504,0.8010094786478246
V11 | V12,0.6158620950914261,0.9986468833912336,0.24180463285983253,0.8965070604584877,0.938973189125359,0.7115486346892478,0.920992934067365,0.8002959470571364
V4 | V12,0.594177487605935,0.9984826711406493,0.2598112795102207,0.8707930198451324,0.9453594911569738,0.7646277997334524,0.9124032506083515,0.7994804101016872
V1 | V14,0.6563452798643852,0.9981372252517111,0.3485501179982941,0.9412086538039041,0.7838962990794666,0.8300907276562111,0.7569590402982982,0.7978817927940377
V1 | V17,0.6884686303011038,0.9977568395147498,0.37636452396447956,0.9494866682745872,0.7268403961246344,0.8378986944505811,0.7339959982392612,0.795836242582892
V14 | V18,0.7306980748502229,0.9988714774547077,0.30272534034636195,0.9358231511709205,0.802834062424519,0.653866518066373,0.8601109337456743,0.7939815159780317
V9 | V17,0.7206012295539705,0.997803823470977,0.28375791199489864,0.9380350809710785,0.7917178819677411,0.6811578696537387,0.8358025575765604,0.7928144837132144
