Feature,Normalidade,Qnd_Outliers,Sep_mediana_norm,Comparacao_dis_whith,Correlacao_spearman,inf_mutua,divergencia_kl,Curva ROC,KS,Wasser,Assimetria,Curtose
V1,0,7062,1.20617,1.740785e-113,-0.042424,0.002127,1.944821,0.794906,0.475331,4.781364,3.28065,32.486088
V2,0,13526,1.607088,1.650438e-163,0.051062,0.003228,6.078115,0.854955,0.633201,3.656017,4.624841,95.771404
V3,0,3363,3.467369,1.211048e-219,-0.059278,0.004952,7.22963,0.912073,0.703682,7.045619,2.240144,26.619062
V4,0,11148,2.966061,3.625904e-248,0.063045,0.004976,8.99922,0.938258,0.766404,4.550031,0.676289,2.635388
V5,0,12295,1.064668,3.053712e-58,-0.030147,0.002391,3.983812,0.70957,0.436442,3.291443,2.425889,206.900907
V6,0,22965,0.864308,2.231002e-93,-0.03841,0.002388,3.355636,0.767005,0.486425,1.44759,1.826571,42.641724
V7,0,8948,2.486101,1.464234e-146,-0.048308,0.003952,7.055373,0.835812,0.660578,5.595599,2.553894,405.600275
V8,0,24134,0.501918,8.509891e-34,0.022706,0.001898,2.915934,0.657842,0.368395,2.772945,8.521899,220.58308
V9,0,8283,1.964993,8.943723e-154,-0.049499,0.004277,3.828056,0.84409,0.57632,2.585589,0.554677,3.731224
V10,0,9496,4.120819,9.611131e-222,-0.059564,0.00753,11.218277,0.914057,0.804291,5.686707,1.187134,31.987656
V11,0,780,3.547659,4.910592e-226,0.060143,0.006831,7.342989,0.918083,0.756067,3.806749,0.356504,1.633872
V12,0,15348,5.648719,8.416027e-247,-0.06287,0.007601,9.832938,0.93704,0.783908,6.270225,2.278389,20.241493
V13,0,3368,0.052267,5.121481e-02,-0.003653,0.000408,0.822387,0.525396,0.103119,0.137529,0.065233,0.195275
V14,0,14149,7.074586,1.471581e-260,-0.064613,0.008136,14.500885,0.94916,0.842839,6.984001,1.995165,23.879022
V15,0,2894,0.115284,1.295082e-01,-0.002841,0.000315,1.07366,0.519748,0.063414,0.115648,0.308421,0.284743
V16,0,8184,4.128,1.808172e-156,-0.049936,0.006144,7.735376,0.847131,0.686506,4.176295,1.10096,10.418927
V17,0,7420,6.167299,9.219384e-124,-0.044335,0.008258,11.53591,0.808195,0.745173,7.065478,3.844894,94.798034
V18,0,7533,1.982351,2.648962e-77,-0.034872,0.004317,3.483929,0.742414,0.50336,2.318426,0.259879,2.578275
V19,0,10205,0.790734,2.401960e-33,0.022546,0.001472,2.039442,0.656731,0.334682,0.832438,0.109191,1.724918
V20,0,27770,0.450549,1.128104e-30,0.021574,0.001207,3.337241,0.649972,0.363947,0.593858,2.037145,271.011334
V21,0,14497,0.846762,8.673355e-80,0.035442,0.002452,6.182496,0.746375,0.518527,1.453238,3.592972,207.28338
V22,0,1317,0.057459,2.663947e-01,0.002083,0.000353,0.629303,0.514477,0.057858,0.275742,0.213256,2.832896
V23,0,18541,0.099267,7.419609e-03,-0.005017,0.000762,2.271495,0.534875,0.18194,0.446827,5.875109,440.080912
V24,0,4774,0.168213,9.423066e-07,-0.009188,0.000642,2.071786,0.563869,0.129193,0.139517,0.552496,0.618839
V25,0,5367,0.138035,1.246293e-02,0.004682,0.0005,1.615663,0.532548,0.088129,0.191679,0.41579,4.290316
V26,0,5596,0.117265,3.531905e-03,0.005466,0.0005,1.990766,0.537999,0.090769,0.073251,0.57669,0.918969
V27,0,39163,0.975384,1.414589e-51,0.028311,0.002444,8.129024,0.696805,0.469542,0.756676,1.170203,244.984919
V28,0,30342,0.409427,1.203683e-27,0.020417,0.001871,5.708248,0.641929,0.368457,0.298657,11.192032,933.381095
tempo_desde_a_primeira_transacao,0,0,0.192522,4.386159e-10,-0.011692,0.001931,0.659778,0.581276,0.169389,14225.788473,0.035567,1.293528
valor_de_transacao,0,31904,0.050976,8.578472e-06,-0.008339,0.001532,3.083376,0.557963,0.271192,46.681925,16.977635,845.077788
